GX,GY,GZ,AX,AY,AZ,SX,SY,SZ,TA,TS
616.000000,-29.000000,978.000000,647.000000,-22.000000,995.000000,50956.000000,4282.000000,90887.000000,104284.688373,36.041643
616.000000,-29.000000,978.000000,646.000000,-19.000000,1018.000000,51586.000000,4492.000000,91727.000000,105333.451425,50.990195
616.000000,-30.000000,978.000000,651.000000,-46.000000,1003.000000,52426.000000,4108.000000,92327.000000,106252.699114,45.891176
616.000000,-30.000000,978.000000,653.000000,-30.000000,1002.000000,53203.000000,4108.000000,92831.000000,107074.877698,44.102154
616.000000,-31.000000,978.000000,641.000000,-40.000000,1025.000000,53778.000000,3901.000000,93912.000000,108290.141883,53.990740
616.000000,-31.000000,978.000000,645.000000,-20.000000,1008.000000,54387.000000,4132.000000,94542.000000,109147.647510,43.150898
616.000000,-31.000000,978.000000,625.000000,-16.000000,1020.000000,54576.000000,4447.000000,95424.000000,110018.431915,45.497253
616.000000,-31.000000,978.000000,645.000000,-16.000000,1015.000000,55185.000000,4762.000000,96201.000000,111007.627080,49.345719
616.000000,-31.000000,978.000000,637.000000,-10.000000,1010.000000,55605.000000,5182.000000,96841.000000,111789.751006,43.657760
616.000000,-31.000000,978.000000,640.000000,-22.000000,1007.000000,56085.000000,5362.000000,97421.000000,112539.457569,38.704005
616.000000,-31.000000,978.000000,652.000000,-19.000000,1007.000000,56841.000000,5614.000000,98030.000000,113456.146493,47.759816
616.000000,-31.000000,978.000000,651.000000,-13.000000,998.000000,57541.000000,5974.000000,98430.000000,114171.451147,44.147480
616.000000,-31.000000,978.000000,636.000000,-28.000000,1004.000000,57961.000000,6037.000000,98976.000000,114857.178557,32.939338
616.000000,-31.000000,978.000000,639.000000,-29.000000,1019.000000,58421.000000,6077.000000,99796.000000,115798.034465,47.053161
616.000000,-31.000000,978.000000,638.000000,-25.000000,1015.000000,58861.000000,6197.000000,100536.000000,116664.079416,43.462628
616.000000,-31.000000,978.000000,626.000000,-30.000000,1023.000000,59061.000000,6217.000000,101436.000000,117541.970827,46.108568
616.000000,-31.000000,978.000000,638.000000,-26.000000,1018.000000,59523.000000,6322.000000,102276.000000,118504.579612,45.923850
616.000000,-31.000000,978.000000,629.000000,-24.000000,1023.000000,59796.000000,6469.000000,103221.000000,119465.410969,47.360321
616.000000,-31.000000,978.000000,646.000000,-28.000000,1018.000000,60426.000000,6532.000000,104061.000000,120510.000502,50.089919
616.000000,-31.000000,978.000000,651.000000,-19.000000,998.000000,61126.000000,6772.000000,104461.000000,121220.247405,42.059482
616.000000,-31.000000,978.000000,636.000000,-31.000000,1023.000000,61546.000000,6772.000000,105406.000000,122246.451629,49.244289
616.000000,-31.000000,978.000000,649.000000,-9.000000,1015.000000,62206.000000,7212.000000,106146.000000,123241.927508,54.240206
616.000000,-31.000000,978.000000,640.000000,-11.000000,1012.000000,62710.000000,7632.000000,106860.000000,124136.421424,46.173586
616.000000,-31.000000,978.000000,641.000000,-33.000000,1017.000000,63235.000000,7590.000000,107679.000000,125104.118102,46.368092
616.000000,-31.000000,978.000000,643.000000,-19.000000,1008.000000,63802.000000,7842.000000,108309.000000,125948.527776,42.107007
616.000000,-31.000000,978.000000,650.000000,-24.000000,1001.000000,64516.000000,7989.000000,108792.000000,126735.305424,41.641326
616.000000,-31.000000,978.000000,639.000000,-23.000000,1001.000000,64976.000000,8149.000000,109252.000000,127374.590406,33.496268
616.000000,-31.000000,978.000000,636.000000,-38.000000,1014.000000,65376.000000,8009.000000,109972.000000,128187.387215,41.773197
616.000000,-31.000000,978.000000,644.000000,-21.000000,1008.000000,65936.000000,8209.000000,110572.000000,129000.430081,42.237424
